"","Country.Name","Series.Name","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1","Argentina","HEXPEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"704.94592285","671.36853027","222.64750671","260.9826355","310.21994019","390.80447388","453.63934326","569.28839111","742.90466309","781.77801514","980.1362915","1202.56396484","1361.99157715","1415.21008301","1280.61486816","1525.05310059","1258.3079834","1494.83605957","1216.10681152","1016.23083496","895.08465576","1044.77270508",NA,NA
"2","Argentina","HEXPENt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.22001076","8.37179852","7.3933115","6.89451647","7.22868252","7.61078882","7.64032793","7.83455086","8.1826973","9.45599556","9.44546413","9.41819859","9.82726669","9.78097916","9.67129993","10.22933674","9.85558891","10.23174763","10.29146862","10.04194355","10.34701538","9.70880699",NA,NA
"3","Argentina","UNEMP","4.8","6","6.6","5.6","3.4","2.3","4.5","2.8","2.8","2","2.3","4.5","4.73","4.17","3.54","5.3","4.4","5.3","6","7.3","7.06","5.44","6.36","10.1","11.76","18.8","17.11","14.82","12.65","14.05","15","17.32","19.59","15.36","13.522","11.506","10.078","8.47","7.837","8.645","7.714","7.18","7.217","7.1","7.268",NA,NA,"8.347","9.221","9.843","11.461","8.736","6.805","6.139"
"4","Argentina","rGDP","220734180309.322","233223609573.669","237021461356.448","243685921868.226","257171024124.452","257097956426.363","251909073021.038","269376820356.431","257238364643.474","283535234199.299","287841521828.634","272903153784.458","270895516738.16","282677015450.457","287117132733.287","272218554792.861","288969188904.054","296785426416.393","293550663101.649","272541389928.67","265817211205.311","290094591011.844","313120244489.89","338817957426.035","358592053441.545","348389357874.283","367643757074.802","397463514160.866","412766570325.764","398792535409.293","395646066535.875","378202665751.853","336999433710.193","366780211148.674","399898899166.738","435296589745.339","470325565798.353","512690850741.56","533491913656.279","501917060966.235","552738161802.463","585924294024.785","579910247223.428","593858966307.156","578937574935.696","594749285413.212","582376550428.09","598790850843.677","583118120294.002","571450737224.442","514874343768.066","570058627079.249","598312841626.662","589035991825.944"
"5","Argentina","GDPg","3.04564331917115","5.65813108184925","1.62841651825939","2.81175403849035","5.5338043957736","-0.0284121037110907","-2.01825151683394","6.93414775653342","-4.50612480201359","10.2227634638681","1.51878394990179","-5.18978914135593","-0.735659159103619","4.34909327926756","1.57073870182023","-5.18902435343904","6.15337706275693","2.70486882770558","-1.08993334133791","-7.15694965597953","-2.46721377810472","9.13311056738961","7.93729155643076","8.20697907221228","5.83620070368526","-2.84520961057079","5.52668982715234","8.1110467707457","3.85017885156228","-3.38545704063269","-0.78899893905691","-4.40883968258557","-10.8944848285903","8.83704079576924","9.02957330068152","8.85165992013437","8.04715150043027","9.00765087504757","4.05723310346406","-5.91852507634947","10.1253981561002","6.00395169280579","-1.0264204544321","2.40532378079436","-2.51261532081394","2.73115982828944","-2.08032784377811","2.81850297775918","-2.61739646282038","-2.00086100285785","-9.9004848136464","10.7180099337095","4.95636996008236","-1.55050153620256"
"6","Argentina","AGING","6.54915880798828","6.671835502388","6.78418914975683","6.89336131695549","7.00025416748126","7.11278560422184","7.23075472407896","7.35330791823546","7.47996555382627","7.59906038739516","7.70605609085024","7.80373980310337","7.89066756487503","7.96954277743267","8.04617239554968","8.12726878680278","8.2206636514023","8.32596342182176","8.44256103724765","8.56852606228196","8.69963810054806","8.84018592170795","8.9841883643417","9.11834620025524","9.24472615607154","9.35935072601786","9.4589752705912","9.54159681363374","9.61210569479175","9.67901672306446","9.74190489982627","9.80315293348933","9.86643193189669","9.92088348230186","9.97802711548057","10.0527391503469","10.136248077845","10.2173352584793","10.3039251181085","10.4081131858639","10.5137373919781","10.6236690386539","10.7483797397358","10.8756021624757","10.9955027961097","11.1124805726824","11.2200190154211","11.3304460535986","11.4597543508974","11.6005982274874","11.7274541416082","11.8219073882904","11.9183280591447","12.0595840195689"
"7","Argentina","SAVING%",NA,NA,NA,NA,NA,NA,"34.0135295252257","32.4531153857551","30.0623313779627","25.1337890334275","22.958545298159","19.9082193500495","18.3182702207985","18.5368526806101","17.6215040712082",NA,"14.7833855830771","15.1977644724266",NA,"13.6301823874957","16.0433752309533","13.5618560304189","13.6516427929257","16.2505279122602","15.6483624533872","16.5116322700598","17.1300773563084","16.6642824266429","16.1297343275958","13.6619163753345","14.3684376958258","14.2140728227831","21.3431768782392","21.7345330075457","13.7828348747865","13.7086097328953","21.4172295393985","22.2314441717013","21.1268023980529","18.3213663046327","17.3318557921569","17.3332165460366","16.2099451316674","15.1944663729121","15.909027608976","14.3058273001867","14.6222549674317","13.0688485783361","11.3939154141372","13.6907954449568","15.0121353189386","19.5419633121122","17.5198551657037","15.1330824948393"
"8","Argentina","SAVING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20296000000","19910285714.2857",NA,"15702000000","16570037383.1776",NA,"10444762129.7302","22677736729.0895","25729551127.4253","31232080576.4343","38471778478.4785","40285144300","42605253700","46619462700","48802850871.8422","48219558501.997","38734675164.8396","40835638747.9504","38192751717.4513","20857407079.9725","27730432866.9857","22694530662.5484","27244092749.7271","49807322359.7804","63922184458.3508","76385652054.5969","61005841447.7542","73422493893.102","91893455324.471","88503443529.7271","83877274305.6483","83732342205.4387","85083805640.3087","81523797453.176","84114820125.1189","59797534612.0846","61301177828.974","57907887106.5188","95345741651.2088","110573654856.282","96941226630.6202"
"9","Australia","HEXPEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1636.52856445","1559.82128906","1763.69567871","2240.74609375","2760.83081055","3014.10473633","3194.03076172","3815.33642578","4107.01269531","4011.93261719","4975.47070313","5909.14990234","6071.65087891","5843.17382813","6130.99853516","5322.97119141","5453.92480469","5813.61376953","5857.28808594","5545.91064453","5958.765625","7055.36816406",NA,NA
"10","Australia","HEXPENt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.59412289","7.67809916","7.87627029","7.88087225","8.08708572","7.97029352","7.97702456","8.05496502","8.24855137","8.54473877","8.42025661","8.53744984","8.67456913","8.75058746","9.83354282","10.18225861","10.09288597","10.12281322","10.05971909","10.21965981","10.6837368","10.54363918",NA,NA
